"pubkey","2025-08-03","2025-08-04","2025-08-05","2025-08-06","2025-08-07","2025-08-08","2025-08-09","2025-08-10","2025-08-11","2025-08-12","2025-08-13","2025-08-14","2025-08-15","2025-08-16","2025-08-17","2025-08-18","2025-08-19","2025-08-20","2025-08-21","2025-08-22","2025-08-23","2025-08-24","2025-08-25","2025-08-26","2025-08-27","2025-08-28","2025-08-29","2025-08-30","2025-08-31","2025-09-01","2025-09-02","2025-09-03","2025-09-04","2025-09-05","2025-09-06","2025-09-07","2025-09-08","2025-09-09","2025-09-10","2025-09-11","2025-09-12","2025-09-13","2025-09-14","2025-09-15","2025-09-16","2025-09-17","2025-09-18","2025-09-19","2025-09-20","2025-09-21","2025-09-22","2025-09-23","2025-09-24","2025-09-25","2025-09-26","2025-09-27","2025-09-28","2025-09-29","2025-09-30","2025-10-01","2025-10-02","2025-10-03","2025-10-04","2025-10-05","2025-10-06","2025-10-07","2025-10-08"
"te1ee9rGf369wxYQkuxkvuvMuTJ9cksgZySmNUF8rNY",0,0,0,0,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,0.83,1,1,0.71,1,1,1,0.96,0,0.17,1,1,1,1,0.83,1,1,1,1,0.92,0,0.38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tkmaiSoZ3F8MofkQBVWG6JYSCzyN6ioe7ReYXohx3WJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,1,1,1,1,1
"ungM4fafkQg1e13MAzwzuvCxtTTiTZ4Xcq7KqnJRyVJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1
"vALigXFg9wnnhVHN16vNxHxXtAXiBv5QjAE6udoniBY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.83,0.38
"vE8K2TUzwD9NAiTcDjGx6rF8aqU7s3mYtvCmQjHshrk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1
"vaoJKVZYPAsqc52T2nNQhABR1gU6Cy2koDKfCQaEiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1,1,1,1,1,1,1,1
"vnd1Ps8w3fsi54qUMJxBhUWARES34Qw7JQXDZxvbysd",0,0,0,0,0.83,1,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,0.88,0.92,1,1,0.67,0,0,0.33,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,1,0.46,0,0,0,0
"vvvvbtDs9HsdsE6NskZMnb1RA6muoud1ChQuiF9QhSM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wetkjRRRDrSPAzHqfVHtFDbhNnejKm5UPfkHeccFCpo",1,1,0.58,1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,0.88,0.92,1,0.92,0.92,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"zeroT6PTAEjipvZuACTh1mbGCqTHgA6i1ped9DcuidX",0,0,0,0,0,0,0,0,0,0,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
